Year,Month,Day,Hour,air_temp,dni,ghi,PeriodEnd.UTC,PeriodEnd.NZ
2022,9,10,5,10,0,0,2022-09-09T17:00:00Z,2022-09-09T17:00:00Z
2022,9,10,6,11,0,0,2022-09-09T18:00:00Z,2022-09-09T18:00:00Z
2022,9,10,7,10,32,8,2022-09-09T19:00:00Z,2022-09-09T19:00:00Z
2022,9,10,8,11,487,140,2022-09-09T20:00:00Z,2022-09-09T20:00:00Z
2022,9,10,9,12,696,329,2022-09-09T21:00:00Z,2022-09-09T21:00:00Z
2022,9,10,10,12,498,439,2022-09-09T22:00:00Z,2022-09-09T22:00:00Z
2022,9,10,11,13,629,582,2022-09-09T23:00:00Z,2022-09-09T23:00:00Z
2022,9,10,12,14,827,706,2022-09-10T00:00:00Z,2022-09-10T00:00:00Z
2022,9,10,13,14,883,741,2022-09-10T01:00:00Z,2022-09-10T01:00:00Z
2022,9,10,14,14,356,542,2022-09-10T02:00:00Z,2022-09-10T02:00:00Z
2022,9,10,15,15,172,412,2022-09-10T03:00:00Z,2022-09-10T03:00:00Z
2022,9,10,16,15,757,444,2022-09-10T04:00:00Z,2022-09-10T04:00:00Z
2022,9,10,17,14,283,214,2022-09-10T05:00:00Z,2022-09-10T05:00:00Z
2022,9,10,18,14,313,75,2022-09-10T06:00:00Z,2022-09-10T06:00:00Z
2022,9,10,19,14,0,0,2022-09-10T07:00:00Z,2022-09-10T07:00:00Z
2022,9,10,20,13,0,0,2022-09-10T08:00:00Z,2022-09-10T08:00:00Z
2022,9,10,21,13,0,0,2022-09-10T09:00:00Z,2022-09-10T09:00:00Z
2022,9,10,22,12,0,0,2022-09-10T10:00:00Z,2022-09-10T10:00:00Z
2022,9,10,23,12,0,0,2022-09-10T11:00:00Z,2022-09-10T11:00:00Z
2022,9,11,0,12,0,0,2022-09-10T12:00:00Z,2022-09-10T12:00:00Z
2022,9,11,1,11,0,0,2022-09-10T13:00:00Z,2022-09-10T13:00:00Z
2022,9,11,2,11,0,0,2022-09-10T14:00:00Z,2022-09-10T14:00:00Z
2022,9,11,3,11,0,0,2022-09-10T15:00:00Z,2022-09-10T15:00:00Z
2022,9,11,4,11,0,0,2022-09-10T16:00:00Z,2022-09-10T16:00:00Z
2022,9,11,5,11,0,0,2022-09-10T17:00:00Z,2022-09-10T17:00:00Z
2022,9,11,6,11,0,0,2022-09-10T18:00:00Z,2022-09-10T18:00:00Z
2022,9,11,7,11,7,7,2022-09-10T19:00:00Z,2022-09-10T19:00:00Z
2022,9,11,8,11,93,97,2022-09-10T20:00:00Z,2022-09-10T20:00:00Z
2022,9,11,9,12,647,332,2022-09-10T21:00:00Z,2022-09-10T21:00:00Z
2022,9,11,10,12,810,514,2022-09-10T22:00:00Z,2022-09-10T22:00:00Z
2022,9,11,11,13,702,597,2022-09-10T23:00:00Z,2022-09-10T23:00:00Z
2022,9,11,12,14,332,489,2022-09-11T00:00:00Z,2022-09-11T00:00:00Z
2022,9,11,13,15,314,545,2022-09-11T01:00:00Z,2022-09-11T01:00:00Z
2022,9,11,14,16,104,424,2022-09-11T02:00:00Z,2022-09-11T02:00:00Z
2022,9,11,15,16,0,238,2022-09-11T03:00:00Z,2022-09-11T03:00:00Z
2022,9,11,16,16,0,123,2022-09-11T04:00:00Z,2022-09-11T04:00:00Z
2022,9,11,17,15,0,90,2022-09-11T05:00:00Z,2022-09-11T05:00:00Z
2022,9,11,18,15,0,25,2022-09-11T06:00:00Z,2022-09-11T06:00:00Z
2022,9,11,19,15,0,0,2022-09-11T07:00:00Z,2022-09-11T07:00:00Z
2022,9,11,20,15,0,0,2022-09-11T08:00:00Z,2022-09-11T08:00:00Z
2022,9,11,21,15,0,0,2022-09-11T09:00:00Z,2022-09-11T09:00:00Z
2022,9,11,22,14,0,0,2022-09-11T10:00:00Z,2022-09-11T10:00:00Z
2022,9,11,23,14,0,0,2022-09-11T11:00:00Z,2022-09-11T11:00:00Z
2022,9,12,0,14,0,0,2022-09-11T12:00:00Z,2022-09-11T12:00:00Z
2022,9,12,1,14,0,0,2022-09-11T13:00:00Z,2022-09-11T13:00:00Z
2022,9,12,2,14,0,0,2022-09-11T14:00:00Z,2022-09-11T14:00:00Z
